event,n,n_valid,unique10,unique15,unique20,unique25,unique30,unique35,unique40,unique45,unique50,unique55,unique60,unique65,unique70,unique75,unique80,unique85,unique90,unique95
0.0,4551,,,,,,,,,,,,,,,,,,,
1.0,1215,,,,,,,,,,,,,,,,,,,
2.0,1096,,,,,,,,,,,,,,,,,,,
3.0,2033,,,,,,,,,,,,,,,,,,,
4.0,625,,,,,,,,,,,,,,,,,,,
5.0,616,,,,,,,,,,,,,,,,,,,
6.0,810,,,,,,,,,,,,,,,,,,,
7.0,567,,,,,,,,,,,,,,,,,,,
8.0,655,,,,,,,,,,,,,,,,,,,
9.0,386,,,,,,,,,,,,,,,,,,,
10.0,884,,,,,,,,,,,,,,,,,,,
11.0,864,,,,,,,,,,,,,,,,,,,
12.0,722,,,,,,,,,,,,,,,,,,,
13.0,657,,,,,,,,,,,,,,,,,,,
14.0,495,,,,,,,,,,,,,,,,,,,
15.0,584,,,,,,,,,,,,,,,,,,,
16.0,664,,,,,,,,,,,,,,,,,,,
17.0,419,,,,,,,,,,,,,,,,,,,
18.0,393,,,,,,,,,,,,,,,,,,,
19.0,591,,,,,,,,,,,,,,,,,,,
20.0,359,,,,,,,,,,,,,,,,,,,
21.0,386,,,,,,,,,,,,,,,,,,,
22.0,325,,,,,,,,,,,,,,,,,,,
23.0,438,,,,,,,,,,,,,,,,,,,
24.0,289,,,,,,,,,,,,,,,,,,,
25.0,613,,,,,,,,,,,,,,,,,,,
26.0,792,,,,,,,,,,,,,,,,,,,
27.0,295,,,,,,,,,,,,,,,,,,,
28.0,372,,,,,,,,,,,,,,,,,,,
29.0,312,,,,,,,,,,,,,,,,,,,
30.0,314,,,,,,,,,,,,,,,,,,,
31.0,231,,,,,,,,,,,,,,,,,,,
32.0,317,,,,,,,,,,,,,,,,,,,
33.0,195,,,,,,,,,,,,,,,,,,,
34.0,220,,,,,,,,,,,,,,,,,,,
35.0,366,,,,,,,,,,,,,,,,,,,
36.0,374,,,,,,,,,,,,,,,,,,,
37.0,250,,,,,,,,,,,,,,,,,,,
38.0,312,,,,,,,,,,,,,,,,,,,
39.0,49884,,,,,,,,,,,,,,,,,,,
40.0,175,,,,,,,,,,,,,,,,,,,
41.0,285,,,,,,,,,,,,,,,,,,,
42.0,237,,,,,,,,,,,,,,,,,,,
43.0,1161,,,,,,,,,,,,,,,,,,,
44.0,553,548,0.10948905109489052,0.14416058394160583,0.17518248175182483,0.2116788321167883,0.22992700729927007,0.2427007299270073,0.24817518248175183,0.25364963503649635,0.2572992700729927,0.2718978102189781,0.2737226277372263,0.28284671532846717,0.2864963503649635,0.3010948905109489,0.30474452554744524,0.3248175182481752,0.36496350364963503,0.45985401459854014
45.0,185,181,0.04419889502762431,0.09944751381215469,0.143646408839779,0.19337016574585636,0.20441988950276244,0.22099447513812154,0.24861878453038674,0.2541436464088398,0.2596685082872928,0.26519337016574585,0.27071823204419887,0.27624309392265195,0.281767955801105,0.30386740331491713,0.3149171270718232,0.3314917127071823,0.36464088397790057,0.36464088397790057
46.0,191,187,0.0748663101604278,0.08021390374331551,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0962566844919786,0.0962566844919786,0.0962566844919786,0.10160427807486631,0.10695187165775401,0.10695187165775401,0.11229946524064172,0.11764705882352941,0.1657754010695187,0.1711229946524064,0.1711229946524064,0.1925133689839572,0.2994652406417112
47.0,164,160,0.04375,0.04375,0.04375,0.04375,0.05,0.05,0.05,0.05,0.05,0.05,0.05625,0.0625,0.075,0.075,0.09375,0.09375,0.1,0.1125
48.0,182,175,0.08571428571428572,0.13142857142857142,0.14285714285714285,0.1657142857142857,0.1657142857142857,0.18285714285714286,0.18857142857142858,0.2,0.2,0.2057142857142857,0.2057142857142857,0.2057142857142857,0.22285714285714286,0.24,0.2571428571428571,0.29714285714285715,0.3657142857142857,0.46285714285714286
49.0,166,166,0.10240963855421686,0.12048192771084337,0.13855421686746988,0.18674698795180722,0.19879518072289157,0.19879518072289157,0.20481927710843373,0.20481927710843373,0.20481927710843373,0.20481927710843373,0.21686746987951808,0.21686746987951808,0.22289156626506024,0.22289156626506024,0.23493975903614459,0.25301204819277107,0.28313253012048195,0.3674698795180723
