event,n,clusters,unique25,unique75
0,628,clusters,0.616242038,0.727707006
1,180,clusters,0.35,0.566666667
2,245,clusters,0.510204082,0.657142857
3,271,clusters,0.656826568,0.804428044
4,127,clusters,0.480314961,0.543307087
5,113,clusters,0.486725664,0.610619469
6,321,clusters,0.632398754,0.707165109
8,115,clusters,0.486956522,0.573913043
9,96,clusters,0.479166667,0.572916667
10,88,clusters,0.375,0.522727273
12,120,clusters,0.525,0.658333333
14,96,clusters,0.65625,0.739583333
15,76,clusters,0.513157895,0.657894737
16,75,clusters,0.466666667,0.626666667
17,65,clusters,0.569230769,0.676923077
19,83,clusters,0.590361446,0.662650602
20,54,clusters,0.5,0.648148148
21,58,clusters,0.396551724,0.551724138
22,47,clusters,0.595744681,0.680851064
23,58,clusters,0.637931034,0.74137931
24,54,clusters,0.796296296,0.833333333
25,58,clusters,0.465517241,0.517241379
26,44,clusters,0.5,0.636363636
27,55,clusters,0.763636364,0.836363636
28,54,clusters,0.740740741,0.777777778
29,50,clusters,0.44,0.56
31,72,clusters,0.763888889,0.819444444
32,42,clusters,0.69047619,0.80952381
33,33,clusters,0.484848485,0.727272727
34,31,clusters,0.387096774,0.612903226
35,34,clusters,0.558823529,0.617647059
36,51,clusters,0.647058824,0.823529412
37,41,clusters,0.585365854,0.780487805
38,33,clusters,0.424242424,0.484848485
39,33,clusters,0.454545455,0.515151515
40,41,clusters,0.487804878,0.609756098
41,36,clusters,0.555555556,0.694444444
42,26,clusters,0.423076923,0.461538462
43,32,clusters,0.71875,0.71875
44,51,clusters,0.529411765,0.62745098
45,23,clusters,0.565217391,0.782608696
46,22,clusters,0.772727273,0.954545455
47,20,clusters,0.05,0.05
49,70,clusters,0.7,0.785714286
50,24,clusters,0.375,0.666666667
51,21,clusters,0.238095238,0.285714286
53,40,clusters,0.525,0.725
54,19,clusters,0.315789474,0.736842105
55,23,clusters,0.652173913,0.652173913
56,23,clusters,0.391304348,0.434782609
