event,n,clusters,unique25,unique75,unique25_good,unique75_good
1.0,3175,,,,,
2.0,7333,,,,,
3.0,3280,,,,,
6.0,790,,,,,
8.0,750,,,,,
9.0,479,,,,,
10.0,1267,,,,,
12.0,2399,,,,,
13.0,269,,,,,
14.0,464,,,,,
15.0,187,,,,,
16.0,543,,,,,
17.0,580,,,,,
18.0,272,,,,,
19.0,1027,,,,,
21.0,377,,,,,
23.0,286,,,,,
24.0,391,,,,,
25.0,997,,,,,
29.0,269,,,,,
30.0,907,,,,,
31.0,272,,,,,
32.0,287,,,,,
33.0,351,,,,,
34.0,131,,,,,
37.0,333,,,,,
38.0,275,,,,,
39.0,503,,,,,
40.0,1067,,,,,
43.0,135,,,,,
45.0,691,,,,,
46.0,225,,,,,
47.0,123,,,,,
48.0,241,,,,,
50.0,263,,,,,
51.0,108,,,,,
52.0,140,,,,,
53.0,70,clusters,0.12857142857142856,0.14285714285714285,0.8,1.0
54.0,239,,,,,
55.0,365,,,,,
57.0,172,,,,,
58.0,79,clusters,0.16455696202531644,0.16455696202531644,1.0,1.0
60.0,244,,,,,
61.0,68,clusters,0.1323529411764706,0.16176470588235295,1.0,1.0
63.0,68,clusters,0.04411764705882353,0.058823529411764705,1.0,1.0
65.0,54,clusters,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517
67.0,69,clusters,0.08695652173913043,0.14492753623188406,1.0,1.0
68.0,172,,,,,
69.0,172,,,,,
70.0,165,,,,,
