event,n,unique25,unique75,n_good,unique25_good,unique75_good
1,3175,,,,,
2,7333,,,,,
3,3280,,,,,
6,790,,,,,
8,750,,,,,
9,479,,,,,
10,1267,,,,,
12,2399,,,,,
13,269,,,,,
14,464,,,,,
15,187,0.0053475935828877,0.0374331550802139,0.0,0.0053475935828877,0.0374331550802139
16,543,,,,,
17,580,,,,,
18,272,0.16544117647058823,0.2610294117647059,254.0,0.14566929133858267,0.21653543307086615
19,1027,,,,,
21,377,0.26525198938992045,0.3448275862068966,356.0,0.25,0.32303370786516855
23,286,0.2062937062937063,0.26223776223776224,218.0,0.21559633027522937,0.27522935779816515
24,391,0.22506393861892582,0.36061381074168797,362.0,0.20441988950276244,0.3287292817679558
25,997,,,,,
29,269,0.20817843866171004,0.2342007434944238,231.0,0.20346320346320346,0.22943722943722944
30,907,,,,,
31,272,0.2757352941176471,0.3235294117647059,262.0,0.25190839694656486,0.3015267175572519
32,287,0.059233449477351915,0.14634146341463414,279.0,0.04659498207885305,0.12903225806451613
33,351,0.2792022792022792,0.35327635327635326,310.0,0.25483870967741934,0.31290322580645163
34,131,0.09923664122137403,0.1450381679389313,130.0,0.09230769230769233,0.13846153846153847
37,333,0.2012012012012012,0.3363363363363364,258.0,0.16279069767441862,0.2248062015503876
38,275,0.15636363636363634,0.2145454545454545,262.0,0.15267175572519084,0.1946564885496183
39,503,,,,,
40,1067,,,,,
43,135,0.14814814814814814,0.2740740740740741,132.0,0.12878787878787878,0.2575757575757576
45,691,,,,,
46,225,0.3244444444444444,0.4133333333333333,219.0,0.3105022831050228,0.4018264840182648
47,123,0.24390243902439024,0.3089430894308943,114.0,0.20175438596491227,0.2631578947368421
48,241,0.12863070539419086,0.2074688796680498,237.0,0.12236286919831225,0.1940928270042194
50,263,0.171102662,0.216730038,230.0,0.130434783,0.147826087
51,108,0.009259259,0.009259259,84.0,0.011904762,0.011904762
52,140,0.257142857,0.314285714,125.0,0.264,0.32
53,70,0.128571429,0.14285714300000002,65.0,0.076923077,0.076923077
54,239,0.142259414,0.251046025,101.0,0.227722772,0.267326733
55,365,0.309589041,0.3643835620000001,298.0,0.281879195,0.33557047
57,172,0.209302326,0.308139535,141.0,0.13475177300000002,0.17021276600000002
58,79,0.164556962,0.164556962,78.0,0.153846154,0.153846154
60,244,0.114754098,0.192622951,240.0,0.108333333,0.179166667
61,68,0.132352941,0.161764706,66.0,0.106060606,0.13636363599999998
63,68,0.044117647,0.05882352900000001,67.0,0.029850746,0.044776119
65,54,0.018518519,0.018518519,54.0,0.018518519,0.018518519
67,69,0.086956522,0.144927536,68.0,0.073529412,0.132352941
68,172,0.220930233,0.401162791,159.0,0.16981132100000002,0.352201258
69,172,0.26744186,0.33720930200000004,151.0,0.231788079,0.291390728
70,165,0.436363636,0.521212121,158.0,0.430379747,0.506329114
