event,n,clusters,unique25,unique75,n_good,unique25_good,unique75_good,good
1.0,3175,,,,,,,
2.0,7333,,,,,,,
3.0,3280,,,,,,,
6.0,790,,,,,,,
8.0,750,,,,,,,
9.0,479,,,,,,,
10.0,1267,,,,,,,
12.0,2399,,,,,,,
13.0,269,,,,,,,
14.0,464,,,,,,,
15.0,187,,,,,,,
16.0,543,,,,,,,
17.0,580,,,,,,,
18.0,272,,,,,,,
19.0,1027,,,,,,,
21.0,377,,,,,,,
23.0,286,,,,,,,
24.0,391,,,,,,,
25.0,997,,,,,,,
29.0,269,,,,,,,
30.0,907,,,,,,,
31.0,272,,,,,,,
32.0,287,,,,,,,
33.0,351,,,,,,,
34.0,131,,,,,,,
37.0,333,,,,,,,
38.0,275,,,,,,,
39.0,503,,,,,,,
40.0,1067,,,,,,,
43.0,135,clusters,0.14814814814814814,0.2740740740740741,,0.12878787878787878,0.25757575757575757,132.0
45.0,691,,,,,,,
46.0,225,clusters,0.3244444444444444,0.41333333333333333,,0.3105022831050228,0.4018264840182648,219.0
47.0,123,clusters,0.24390243902439024,0.3089430894308943,,0.20175438596491227,0.2631578947368421,114.0
48.0,241,clusters,0.12863070539419086,0.2074688796680498,,0.12236286919831224,0.1940928270042194,237.0
50.0,263,clusters,0.17110266159695817,0.21673003802281368,,0.13043478260869565,0.14782608695652175,230.0
51.0,108,clusters,0.009259259259259259,0.009259259259259259,,0.011904761904761904,0.011904761904761904,84.0
52.0,140,clusters,0.2571428571428571,0.3142857142857143,,0.264,0.32,125.0
53.0,70,clusters,0.12857142857142856,0.14285714285714285,,0.07692307692307693,0.07692307692307693,65.0
54.0,239,clusters,0.14225941422594143,0.2510460251046025,,0.22772277227722773,0.26732673267326734,101.0
55.0,365,clusters,0.3095890410958904,0.3643835616438356,,0.28187919463087246,0.33557046979865773,298.0
57.0,172,clusters,0.20930232558139536,0.3081395348837209,,0.1347517730496454,0.1702127659574468,141.0
58.0,79,clusters,0.16455696202531644,0.16455696202531644,,0.15384615384615385,0.15384615384615385,78.0
60.0,244,clusters,0.11475409836065574,0.19262295081967212,,0.10833333333333334,0.17916666666666667,240.0
61.0,68,clusters,0.1323529411764706,0.16176470588235295,,0.10606060606060606,0.13636363636363635,66.0
63.0,68,clusters,0.04411764705882353,0.058823529411764705,,0.029850746268656716,0.04477611940298507,67.0
65.0,54,clusters,0.018518518518518517,0.018518518518518517,,0.018518518518518517,0.018518518518518517,54.0
67.0,69,clusters,0.08695652173913043,0.14492753623188406,,0.07352941176470588,0.1323529411764706,68.0
68.0,172,clusters,0.22093023255813954,0.4011627906976744,,0.16981132075471697,0.3522012578616352,159.0
69.0,172,clusters,0.26744186046511625,0.3372093023255814,,0.23178807947019867,0.2913907284768212,151.0
70.0,165,clusters,0.43636363636363634,0.5212121212121212,,0.43037974683544306,0.5063291139240507,158.0
